Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Camera_pea_abundances_eq_med_norm_neored,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-3371556,"Cellular response to heat stress",1,135,0.009283454820519874,0.013077135302159358,0.5428090685956889,1,29,0.00214560520864161,-1.0,9606,Homo sapiens,"Q02790","","R-HSA-5324617"
R-HSA-2173793,"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer",2,55,0.0037821482602118004,0.014261986206502993,0.5428090685956889,3,38,0.0028114826871855577,-1.0,9606,Homo sapiens,"P05121;P09874","","R-HSA-2187330;R-HSA-2106586;R-HSA-2187325"
R-HSA-170834,"Signaling by TGF-beta Receptor Complex",3,85,0.005845138220327328,0.014478947175169411,0.5428090685956889,9,82,0.006066883693400415,-1.0,9606,Homo sapiens,"Q9Y624;P05121;P09874","","R-HSA-2160931;R-HSA-2187330;R-HSA-2160932;R-HSA-2134532;R-HSA-2160935;R-HSA-2134519;R-HSA-2134506;R-HSA-2106586;R-HSA-2187325"
R-HSA-6802952,"Signaling by BRAF and RAF1 fusions",3,73,0.0050199422362811165,0.021963766217876268,0.5428090685956889,5,5,3.699319325244155E-4,-1.0,9606,Homo sapiens,"P30086;P12931;P04275","","R-HSA-6802935;R-HSA-6802934;R-HSA-6802933;R-HSA-6802932;R-HSA-6802927"
R-HSA-6802946,"Signaling by moderate kinase activity BRAF mutants",3,54,0.0037133819282079493,0.021963766217876268,0.5428090685956889,5,7,5.179047055341817E-4,-1.0,9606,Homo sapiens,"P30086;P12931;P04275","","R-HSA-6802919;R-HSA-6802916;R-HSA-6802914;R-HSA-6803230;R-HSA-6802921"
R-HSA-9649948,"Signaling downstream of RAS mutants",3,54,0.0037133819282079493,0.021963766217876268,0.5428090685956889,5,7,5.179047055341817E-4,-1.0,9606,Homo sapiens,"P30086;P12931;P04275","","R-HSA-6803233;R-HSA-6802926;R-HSA-6802925;R-HSA-6802924;R-HSA-6802922"
R-HSA-6802955,"Paradoxical activation of RAF signaling by kinase inactive BRAF",3,54,0.0037133819282079493,0.021963766217876268,0.5428090685956889,5,7,5.179047055341817E-4,-1.0,9606,Homo sapiens,"P30086;P12931;P04275","","R-HSA-6802918;R-HSA-6803234;R-HSA-6802943;R-HSA-6802942;R-HSA-6802941"
R-HSA-6802948,"Signaling by high-kinase activity BRAF mutants",3,44,0.0030257186081694403,0.021963766217876268,0.5428090685956889,4,6,4.439183190292986E-4,-1.0,9606,Homo sapiens,"P30086;P12931;P04275","","R-HSA-6802912;R-HSA-6802911;R-HSA-6802910;R-HSA-6803227"
R-HSA-5674135,"MAP2K and MAPK activation",3,49,0.003369550268188695,0.021963766217876268,0.5428090685956889,8,12,8.878366380585972E-4,-1.0,9606,Homo sapiens,"P30086;P12931;P04275","","R-HSA-9657603;R-HSA-5672980;R-HSA-5672978;R-HSA-9657606;R-HSA-5672972;R-HSA-5672973;R-HSA-9657608;R-HSA-9657599"
R-HSA-6802957,"Oncogenic MAPK signaling",3,93,0.006395268876358135,0.021963766217876268,0.5428090685956889,29,46,0.0034033737792246227,-1.0,9606,Homo sapiens,"P30086;P12931;P04275","","R-HSA-6802919;R-HSA-9656211;R-HSA-6802918;R-HSA-9656209;R-HSA-6802916;R-HSA-9656215;R-HSA-6802914;R-HSA-6803234;R-HSA-9656214;R-HSA-6803233;R-HSA-6802912;R-HSA-9656212;R-HSA-6802927;R-HSA-6802926;R-HSA-6802925;R-HSA-6802924;R-HSA-6802922;R-HSA-6802921;R-HSA-6802935;R-HSA-6802934;R-HSA-6802933;R-HSA-6802932;R-HSA-6802943;R-HSA-6802942;R-HSA-6802941;R-HSA-6802911;R-HSA-6802910;R-HSA-6803230;R-HSA-6803227"
R-HSA-6802949,"Signaling by RAS mutants",3,54,0.0037133819282079493,0.021963766217876268,0.5428090685956889,5,9,6.658774785439479E-4,-1.0,9606,Homo sapiens,"P30086;P12931;P04275","","R-HSA-6803233;R-HSA-6802926;R-HSA-6802925;R-HSA-6802924;R-HSA-6802922"
R-HSA-977606,"Regulation of Complement cascade",6,139,0.009558520148535277,0.02521206913994008,0.5428090685956889,18,42,0.0031074282332050904,1.0,9606,Homo sapiens,"P15529;P13987;P06681;P20023;Q9BXR6;P0DOY2","","R-HSA-977615;R-HSA-8853252;R-HSA-8852481;R-HSA-8851436;R-HSA-2530445;R-HSA-977602;R-HSA-8852874;R-HSA-8852266;R-HSA-1006143;R-HSA-977375;R-HSA-981535;R-HSA-977629;R-HSA-9021306;R-HSA-8951486;R-HSA-981621;R-HSA-977619;R-HSA-981648;R-HSA-981680"
R-HSA-9609507,"Protein localization",4,170,0.011690276440654656,0.026422943679165947,0.5428090685956889,10,53,0.0039212784847588045,-1.0,9606,Homo sapiens,"P46379;Q9UJM8;P09601;P05067","","R-HSA-9609921;R-HSA-9609860;R-HSA-9033233;R-HSA-9610442;R-HSA-9609899;R-HSA-9617595;R-HSA-9033235;R-HSA-9033236;R-HSA-9617596;R-HSA-9609917"
R-HSA-2855086,"Ficolins bind to repetitive carbohydrate structures on the target cell surface",1,12,8.25195984046211E-4,0.027931830471929226,0.5428090685956889,1,3,2.219591595146493E-4,-1.0,9606,Homo sapiens,"Q15485","","R-HSA-2855054"
R-HSA-3296469,"Defects in cobalamin (B12) metabolism",2,31,0.0021317562921193784,0.030155386520940356,0.5428090685956889,5,15,0.0011097957975732466,1.0,9606,Homo sapiens,"P20062;P27352","","R-HSA-3325546;R-HSA-3299657;R-HSA-3296462;R-HSA-3315455;R-HSA-3296477"
R-HSA-3296482,"Defects in vitamin and cofactor metabolism",2,42,0.0028881859441617385,0.030155386520940356,0.5428090685956889,5,21,0.0015537141166025452,1.0,9606,Homo sapiens,"P20062;P27352","","R-HSA-3325546;R-HSA-3299657;R-HSA-3296462;R-HSA-3315455;R-HSA-3296477"
R-HSA-1250342,"PI3K events in ERBB4 signaling",1,15,0.0010314949800577637,0.03297768480714087,0.5428090685956889,2,2,1.479727730097662E-4,-1.0,9606,Homo sapiens,"Q99075","","R-HSA-1250370;R-HSA-1250353"
R-HSA-1250347,"SHC1 events in ERBB4 signaling",1,21,0.0014440929720808693,0.03297768480714087,0.5428090685956889,4,4,2.959455460195324E-4,-1.0,9606,Homo sapiens,"Q99075","","R-HSA-1250357;R-HSA-1250383;R-HSA-1250380;R-HSA-1250348"
R-HSA-5336415,"Uptake and function of diphtheria toxin",1,10,6.876633200385092E-4,0.03297768480714087,0.5428090685956889,4,5,3.699319325244155E-4,-1.0,9606,Homo sapiens,"Q99075","","R-HSA-5336417;R-HSA-5336420;R-HSA-5336422;R-HSA-5336413"
R-HSA-5339562,"Uptake and actions of bacterial toxins",1,60,0.004125979920231055,0.03297768480714087,0.5428090685956889,4,66,0.004883101509322285,-1.0,9606,Homo sapiens,"Q99075","","R-HSA-5336417;R-HSA-5336420;R-HSA-5336422;R-HSA-5336413"
R-HSA-9707587,"Regulation of HMOX1 expression and activity",1,75,0.005157474900288819,0.03475141402369886,0.5428090685956889,4,19,0.0014057413435927789,-1.0,9606,Homo sapiens,"P09601","","R-HSA-9707645;R-HSA-9708558;R-HSA-9708536;R-HSA-9708457"
R-HSA-9707616,"Heme signaling",1,70,0.004813643240269564,0.03475141402369886,0.5428090685956889,1,25,0.0018496596626220775,-1.0,9606,Homo sapiens,"P09601","","R-HSA-9707645"
R-HSA-9707564,"Cytoprotection by HMOX1",2,158,0.010865080456608445,0.03738719750560234,0.5428090685956889,8,37,0.0027374963006806747,-1.0,9606,Homo sapiens,"P30043;P09601","","R-HSA-1250272;R-HSA-189398;R-HSA-9707645;R-HSA-189384;R-HSA-9708558;R-HSA-9709918;R-HSA-9708536;R-HSA-9708457"
R-HSA-189483,"Heme degradation",2,38,0.002613120616146335,0.03738719750560234,0.5428090685956889,2,22,0.0016277005031074283,-1.0,9606,Homo sapiens,"P30043;P09601","","R-HSA-189398;R-HSA-189384"
R-HSA-189445,"Metabolism of porphyrins",2,74,0.005088708568284968,0.03738719750560234,0.5428090685956889,2,42,0.0031074282332050904,-1.0,9606,Homo sapiens,"P30043;P09601","","R-HSA-189398;R-HSA-189384"
R-HSA-5140745,"WNT5A-dependent internalization of FZD2, FZD5 and ROR2",1,13,8.939623160500619E-4,0.03747064935179674,0.5428090685956889,2,2,1.479727730097662E-4,1.0,9606,Homo sapiens,"Q01973","","R-HSA-5140747;R-HSA-5140741"
R-HSA-4086400,"PCP/CE pathway",1,99,0.00680786686838124,0.03747064935179674,0.5428090685956889,2,24,0.0017756732761171944,1.0,9606,Homo sapiens,"Q01973","","R-HSA-5140747;R-HSA-5140741"
R-HSA-3858494,"Beta-catenin independent WNT signaling",1,166,0.011415211112639252,0.03747064935179674,0.5428090685956889,2,51,0.003773305711749038,1.0,9606,Homo sapiens,"Q01973","","R-HSA-5140747;R-HSA-5140741"
R-HSA-5218859,"Regulated Necrosis",5,77,0.00529500756429652,0.03754063198476537,0.5428090685956889,8,57,0.004217224030778337,-1.0,9606,Homo sapiens,"Q14116;O00220;O14763;P42574;P25445","","R-HSA-3465429;R-HSA-9710101;R-HSA-9647632;R-HSA-9647680;R-HSA-449058;R-HSA-5675456;R-HSA-5213462;R-HSA-9686088"
R-HSA-392499,"Metabolism of proteins",61,2205,0.15162976206849127,0.0383117036264145,0.5428090685956889,106,798,0.059041136430896715,1.0,9606,Homo sapiens,"O95633;P01241;P08833;P55103;P13987;Q9HCB6;Q16270;Q9Y6K9;P15291;Q15582;Q8NBJ7;P98160;P07237;P01034;P01033;P27487;Q8IWV2;Q9GZV9;P19022;O75015;P35442;Q08431;Q8NI22;Q9BYF1;P15144;P08253;P05067;P01222;P15907;Q13219;P18065;P10451;Q8NBP7;Q9UBU3;Q03405;Q14393;P01215;P05231;P04066;P09874;P41159;P24592;P07339;P40818;Q76LX8;Q14515;Q14118;P13611;P08709;Q9NQ76;O43505;P15289;P04070;P15086;Q9UBR2;P17936;Q9BUD6;Q99497;P24821;P00797","","R-HSA-163843;R-HSA-5690196;R-HSA-9023627;R-HSA-1614362;R-HSA-688136;R-HSA-9023626;R-HSA-381446;R-HSA-6783332;R-HSA-9023617;R-HSA-9023619;R-HSA-381461;R-HSA-975902;R-HSA-159762;R-HSA-2022412;R-HSA-159761;R-HSA-162836;R-HSA-4085033;R-HSA-9023633;R-HSA-1614336;R-HSA-2028294;R-HSA-9023632;R-HSA-947991;R-HSA-159771;R-HSA-5692495;R-HSA-2022403;R-HSA-4551768;R-HSA-381466;R-HSA-975919;R-HSA-9010091;R-HSA-6807877;R-HSA-6807875;R-HSA-159783;R-HSA-5696627;R-HSA-381487;R-HSA-159795;R-HSA-5693807;R-HSA-381500;R-HSA-9010096;R-HSA-381503;R-HSA-381496;R-HSA-5615637;R-HSA-9638097;R-HSA-977228;R-HSA-5173005;R-HSA-378956;R-HSA-381518;R-HSA-378952;R-HSA-976734;R-HSA-383313;R-HSA-9638090;R-HSA-378975;R-HSA-381537;R-HSA-378978;R-HSA-8952289;R-HSA-5694527;R-HSA-5694522;R-HSA-4085331;R-HSA-159868;R-HSA-422021;R-HSA-5694418;R-HSA-5173192;R-HSA-5694417;R-HSA-422017;R-HSA-5694431;R-HSA-5694428;R-HSA-8879117;R-HSA-6786034;R-HSA-4755411;R-HSA-5694410;R-HSA-5694409;R-HSA-977071;R-HSA-5617143;R-HSA-422051;R-HSA-422048;R-HSA-5617138;R-HSA-162729;R-HSA-5694439;R-HSA-5694446;R-HSA-5694441;R-HSA-8871494;R-HSA-6782628;R-HSA-203973;R-HSA-8931648;R-HSA-6809006;R-HSA-6809003;R-HSA-8931653;R-HSA-422088;R-HSA-2065357;R-HSA-6809011;R-HSA-8871506;R-HSA-6809010;R-HSA-5617037;R-HSA-422104;R-HSA-163810;R-HSA-381412;R-HSA-163809;R-HSA-2022393;R-HSA-204008;R-HSA-8940388;R-HSA-4551604;R-HSA-2022381;R-HSA-2022378;R-HSA-2022379;R-HSA-9010034;R-HSA-977136;R-HSA-381435"
R-HSA-5357769,"Caspase activation via extrinsic apoptotic signalling pathway",4,32,0.002200522624123229,0.039020790763904266,0.5428090685956889,10,17,0.0012577685705830127,-1.0,9606,Homo sapiens,"O00220;O14763;P42574;P25445","","R-HSA-139952;R-HSA-418852;R-HSA-141156;R-HSA-3465459;R-HSA-418846;R-HSA-73945;R-HSA-418845;R-HSA-3465448;R-HSA-3371359;R-HSA-373705"
R-HSA-173623,"Classical antibody-mediated complement activation",1,97,0.006670334204373539,0.03922149711191811,0.5428090685956889,2,2,1.479727730097662E-4,1.0,9606,Homo sapiens,"P0DOY2","","R-HSA-173626;R-HSA-173631"
R-HSA-2730905,"Role of LAT2/NTAL/LAB on calcium mobilization",1,107,0.0073579975244120474,0.03922149711191811,0.5428090685956889,2,7,5.179047055341817E-4,1.0,9606,Homo sapiens,"P0DOY2","","R-HSA-2730860;R-HSA-2730884"
R-HSA-264870,"Caspase-mediated cleavage of cytoskeletal proteins",1,12,8.25195984046211E-4,0.039875249298058246,0.5428090685956889,7,10,7.39863865048831E-4,-1.0,9606,Homo sapiens,"P42574","","R-HSA-201639;R-HSA-202967;R-HSA-201622;R-HSA-202966;R-HSA-201608;R-HSA-201629;R-HSA-201628"
R-HSA-111459,"Activation of caspases through apoptosome-mediated cleavage",1,8,5.501306560308073E-4,0.039875249298058246,0.5428090685956889,1,2,1.479727730097662E-4,-1.0,9606,Homo sapiens,"P42574","","R-HSA-114252"
R-HSA-418889,"Caspase activation via Dependence Receptors in the absence of ligand",1,12,8.25195984046211E-4,0.039875249298058246,0.5428090685956889,4,8,5.918910920390648E-4,-1.0,9606,Homo sapiens,"P42574","","R-HSA-418852;R-HSA-418846;R-HSA-418845;R-HSA-373705"
R-HSA-205025,"NADE modulates death signalling",1,6,4.125979920231055E-4,0.039875249298058246,0.5428090685956889,1,3,2.219591595146493E-4,-1.0,9606,Homo sapiens,"P42574","","R-HSA-205117"
R-HSA-111464,"SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ",1,7,4.813643240269564E-4,0.039875249298058246,0.5428090685956889,1,3,2.219591595146493E-4,-1.0,9606,Homo sapiens,"P42574","","R-HSA-114419"
R-HSA-111469,"SMAC, XIAP-regulated apoptotic response",1,8,5.501306560308073E-4,0.039875249298058246,0.5428090685956889,3,10,7.39863865048831E-4,-1.0,9606,Homo sapiens,"P42574","","R-HSA-114419;R-HSA-9627104;R-HSA-114306"
R-HSA-211736,"Stimulation of the cell death response by PAK-2p34",1,4,2.7506532801540364E-4,0.039875249298058246,0.5428090685956889,1,4,2.959455460195324E-4,-1.0,9606,Homo sapiens,"P42574","","R-HSA-211651"
R-HSA-111463,"SMAC (DIABLO) binds to IAPs ",1,7,4.813643240269564E-4,0.039875249298058246,0.5428090685956889,1,4,2.959455460195324E-4,-1.0,9606,Homo sapiens,"P42574","","R-HSA-114306"
R-HSA-140342,"Apoptosis induced DNA fragmentation",1,13,8.939623160500619E-4,0.039875249298058246,0.5428090685956889,3,12,8.878366380585972E-4,-1.0,9606,Homo sapiens,"P42574","","R-HSA-211219;R-HSA-211186;R-HSA-211190"
R-HSA-111471,"Apoptotic factor-mediated response",1,23,0.001581625636088571,0.039875249298058246,0.5428090685956889,4,28,0.0020716188221367266,-1.0,9606,Homo sapiens,"P42574","","R-HSA-114419;R-HSA-9627104;R-HSA-114306;R-HSA-114252"
R-HSA-111461,"Cytochrome c-mediated apoptotic response",1,15,0.0010314949800577637,0.039875249298058246,0.5428090685956889,1,12,8.878366380585972E-4,-1.0,9606,Homo sapiens,"P42574","","R-HSA-114252"
R-HSA-109606,"Intrinsic Pathway for Apoptosis",1,64,0.004401045248246458,0.039875249298058246,0.5428090685956889,4,62,0.0045871559633027525,-1.0,9606,Homo sapiens,"P42574","","R-HSA-114419;R-HSA-9627104;R-HSA-114306;R-HSA-114252"
R-HSA-204998,"Cell death signalling via NRAGE, NRIF and NADE",1,80,0.0055013065603080735,0.039875249298058246,0.5428090685956889,1,17,0.0012577685705830127,-1.0,9606,Homo sapiens,"P42574","","R-HSA-205117"
R-HSA-193704,"p75 NTR receptor-mediated signalling",1,109,0.00749553018841975,0.039875249298058246,0.5428090685956889,1,50,0.003699319325244155,-1.0,9606,Homo sapiens,"P42574","","R-HSA-205117"
R-HSA-110373,"Resolution of AP sites via the multiple-nucleotide patch replacement pathway",2,32,0.002200522624123229,0.04072587636720174,0.5428090685956889,14,19,0.0014057413435927789,-1.0,9606,Homo sapiens,"P27695;P09874","","R-HSA-110368;R-HSA-110371;R-HSA-5651828;R-HSA-5649873;R-HSA-5649854;R-HSA-5651805;R-HSA-5651739;R-HSA-5649883;R-HSA-111253;R-HSA-5649856;R-HSA-5651809;R-HSA-110363;R-HSA-110364;R-HSA-5651723"
R-HSA-73933,"Resolution of Abasic Sites (AP sites)",2,48,0.003300783936184844,0.04072587636720174,0.5428090685956889,25,43,0.0031814146197099735,-1.0,9606,Homo sapiens,"P27695;P09874","","R-HSA-5649873;R-HSA-5651805;R-HSA-110349;R-HSA-5651739;R-HSA-5649883;R-HSA-110351;R-HSA-110350;R-HSA-110353;R-HSA-110352;R-HSA-110355;R-HSA-110354;R-HSA-111253;R-HSA-110356;R-HSA-5649856;R-HSA-110359;R-HSA-110360;R-HSA-110363;R-HSA-110364;R-HSA-5651723;R-HSA-110368;R-HSA-110371;R-HSA-5651828;R-HSA-110375;R-HSA-5649854;R-HSA-5651809"
R-HSA-110362,"POLB-Dependent Long Patch Base Excision Repair",2,15,0.0010314949800577637,0.04072587636720174,0.5428090685956889,5,10,7.39863865048831E-4,-1.0,9606,Homo sapiens,"P27695;P09874","","R-HSA-5651828;R-HSA-5649873;R-HSA-5651739;R-HSA-5651723;R-HSA-5649883"
R-HSA-73884,"Base Excision Repair",2,99,0.00680786686838124,0.04072587636720174,0.5428090685956889,25,105,0.007768570583012726,-1.0,9606,Homo sapiens,"P27695;P09874","","R-HSA-5649873;R-HSA-5651805;R-HSA-110349;R-HSA-5651739;R-HSA-5649883;R-HSA-110351;R-HSA-110350;R-HSA-110353;R-HSA-110352;R-HSA-110355;R-HSA-110354;R-HSA-111253;R-HSA-110356;R-HSA-5649856;R-HSA-110359;R-HSA-110360;R-HSA-110363;R-HSA-110364;R-HSA-5651723;R-HSA-110368;R-HSA-110371;R-HSA-5651828;R-HSA-110375;R-HSA-5649854;R-HSA-5651809"
R-HSA-73894,"DNA Repair",2,369,0.025374776509420986,0.04072587636720174,0.5428090685956889,41,332,0.02456348031962119,-1.0,9606,Homo sapiens,"P27695;P09874","","R-HSA-5649873;R-HSA-5696670;R-HSA-5651805;R-HSA-110349;R-HSA-5651739;R-HSA-5649883;R-HSA-110351;R-HSA-5687640;R-HSA-5696664;R-HSA-110350;R-HSA-110353;R-HSA-110352;R-HSA-6790454;R-HSA-110355;R-HSA-110354;R-HSA-5689861;R-HSA-111253;R-HSA-110356;R-HSA-5649856;R-HSA-110359;R-HSA-110360;R-HSA-5696655;R-HSA-110363;R-HSA-110364;R-HSA-5651723;R-HSA-110368;R-HSA-110371;R-HSA-5651828;R-HSA-5690996;R-HSA-110375;R-HSA-5649854;R-HSA-5687484;R-HSA-5691000;R-HSA-6790487;R-HSA-5687653;R-HSA-5690213;R-HSA-5689317;R-HSA-5651809;R-HSA-5690990;R-HSA-5690991;R-HSA-5690988"
R-HSA-196849,"Metabolism of water-soluble vitamins and cofactors",6,254,0.01746664832897813,0.04383281695388416,0.5735518509568431,14,144,0.010654039656703166,1.0,9606,Homo sapiens,"O95544;P20062;P27352;Q99895;Q13822;P13686","","R-HSA-3000109;R-HSA-8938314;R-HSA-3000137;R-HSA-3000074;R-HSA-3000263;R-HSA-3000103;R-HSA-197198;R-HSA-5693319;R-HSA-196950;R-HSA-3000120;R-HSA-3000122;R-HSA-3000247;R-HSA-3000112;R-HSA-3000243"
R-HSA-1251985,"Nuclear signaling by ERBB4",2,47,0.003232017604180993,0.044316996322533234,0.5735518509568431,2,34,0.0025155371411660255,-1.0,9606,Homo sapiens,"P12931;Q99075","","R-HSA-1251992;R-HSA-1252013"
R-HSA-76002,"Platelet activation, signaling and aggregation",21,291,0.020011002613120617,0.04504510122536805,0.574646791346481,48,116,0.00858242083456644,-1.0,9606,Homo sapiens,"P01033;P02452;P07359;P29350;P16109;P12931;O43915;Q9HCN6;P16284;P04085;P01127;Q14393;Q92520;P05121;P05067;P04275;Q99969;P25116;P40225;P00441","","R-HSA-139842;R-HSA-443910;R-HSA-418176;R-HSA-429441;R-HSA-443905;R-HSA-354124;R-HSA-443402;R-HSA-443926;R-HSA-372693;R-HSA-481044;R-HSA-482772;R-HSA-453200;R-HSA-430096;R-HSA-5684801;R-HSA-354066;R-HSA-354077;R-HSA-443418;R-HSA-354073;R-HSA-372697;R-HSA-418200;R-HSA-429529;R-HSA-5684169;R-HSA-354149;R-HSA-418662;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-432096;R-HSA-481007;R-HSA-418158;R-HSA-114600;R-HSA-377644;R-HSA-443439;R-HSA-377641;R-HSA-377640;R-HSA-418091;R-HSA-377643;R-HSA-9708859;R-HSA-354165;R-HSA-481010;R-HSA-418163;R-HSA-481009;R-HSA-437118;R-HSA-453183;R-HSA-430076;R-HSA-418172;R-HSA-418170;R-HSA-430073"
R-HSA-9662834,"CD163 mediating an anti-inflammatory response",2,14,9.627286480539128E-4,0.04581753520637704,0.576268435764714,4,9,6.658774785439479E-4,-1.0,9606,Homo sapiens,"Q86VB7;P05231","","R-HSA-9663426;R-HSA-9662837;R-HSA-9665525;R-HSA-9662781"
R-HSA-8949275,"RUNX3 Regulates Immune Response and Cell Migration",1,10,6.876633200385092E-4,0.04830333673795307,0.5872834549809468,1,5,3.699319325244155E-4,1.0,9606,Homo sapiens,"P10451","","R-HSA-8952442"
R-HSA-400511,"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",1,22,0.0015128593040847202,0.048419254814665524,0.5872834549809468,2,7,5.179047055341817E-4,1.0,9606,Homo sapiens,"P27487","","R-HSA-9023627;R-HSA-9023626"
