Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Camera_ms_abundances_eq_med_norm_neored,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-72766,"Translation",16,339,0.02331178654930546,1.845295020738767E-4,0.02229200407282631,31,99,0.007324652263983427,2.0,9606,Homo sapiens,"P61619;P13639;P46782;P36578;P13798;P84098;P15880;P68104;Q02543;P12081;P63220;P62987;P15170;P61247;P62851;P46779","","R-HSA-156930;R-HSA-379844;R-HSA-1799326;R-HSA-156808;R-HSA-156823;R-HSA-156826;R-HSA-157849;R-HSA-72671;R-HSA-72673;R-HSA-72672;R-HSA-141671;R-HSA-72676;R-HSA-156907;R-HSA-72619;R-HSA-141673;R-HSA-72621;R-HSA-6800138;R-HSA-156908;R-HSA-5691512;R-HSA-156909;R-HSA-156915;R-HSA-156912;R-HSA-72691;R-HSA-156913;R-HSA-72697;R-HSA-141691;R-HSA-156923;R-HSA-1799330;R-HSA-1799329;R-HSA-1799335;R-HSA-1799332"
R-HSA-9649948,"Signaling downstream of RAS mutants",14,54,0.0037133819282079493,2.4300876532877522E-4,0.02229200407282631,7,7,5.179047055341817E-4,-2.0,9606,Homo sapiens,"P02671;P05106;P08514;P31946;P60709;P30086;P18206;P35232;P02679;P61224;P04275;P02675;P02751;Q9Y490","","R-HSA-6803233;R-HSA-6802926;R-HSA-6802925;R-HSA-6802908;R-HSA-6802924;R-HSA-6802922;R-HSA-6803240"
R-HSA-6802946,"Signaling by moderate kinase activity BRAF mutants",14,54,0.0037133819282079493,2.4300876532877522E-4,0.02229200407282631,7,7,5.179047055341817E-4,-2.0,9606,Homo sapiens,"P02671;P05106;P08514;P31946;P60709;P30086;P18206;P35232;P02679;P61224;P04275;P02675;P02751;Q9Y490","","R-HSA-6802919;R-HSA-6802916;R-HSA-6802915;R-HSA-6802914;R-HSA-6803230;R-HSA-8936676;R-HSA-6802921"
R-HSA-6802955,"Paradoxical activation of RAF signaling by kinase inactive BRAF",14,54,0.0037133819282079493,2.4300876532877522E-4,0.02229200407282631,7,7,5.179047055341817E-4,-2.0,9606,Homo sapiens,"P02671;P05106;P08514;P31946;P60709;P30086;P18206;P35232;P02679;P61224;P04275;P02675;P02751;Q9Y490","","R-HSA-6802918;R-HSA-8936731;R-HSA-6803234;R-HSA-6802943;R-HSA-6802942;R-HSA-6802941;R-HSA-6802937"
R-HSA-6802949,"Signaling by RAS mutants",14,54,0.0037133819282079493,2.4300876532877522E-4,0.02229200407282631,7,9,6.658774785439479E-4,-2.0,9606,Homo sapiens,"P02671;P05106;P08514;P31946;P60709;P30086;P18206;P35232;P02679;P61224;P04275;P02675;P02751;Q9Y490","","R-HSA-6803233;R-HSA-6802926;R-HSA-6802925;R-HSA-6802908;R-HSA-6802924;R-HSA-6802922;R-HSA-6803240"
R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",20,98,0.00673910053637739,4.1638839283590536E-4,0.03580940178388786,60,84,0.006214856466410181,-2.0,9606,Homo sapiens,"P04114;P01130;P55058;P06727;P08519;P11597;P13497;Q8NBP7;P04180;P02649;Q86X29;P02768;P02647;P02656;P02655;P02654;P02652;P07237;P01023","","R-HSA-8933258;R-HSA-8866308;R-HSA-8865667;R-HSA-6784738;R-HSA-264834;R-HSA-171141;R-HSA-8866304;R-HSA-6784622;R-HSA-174731;R-HSA-8858252;R-HSA-8854408;R-HSA-8866327;R-HSA-216723;R-HSA-174739;R-HSA-264848;R-HSA-216727;R-HSA-8866321;R-HSA-174741;R-HSA-8866329;R-HSA-174624;R-HSA-8933292;R-HSA-174757;R-HSA-171059;R-HSA-264758;R-HSA-216757;R-HSA-216756;R-HSA-6784735;R-HSA-6784734;R-HSA-8854462;R-HSA-266303;R-HSA-6784729;R-HSA-266299;R-HSA-174786;R-HSA-8855111;R-HSA-349637;R-HSA-266310;R-HSA-174657;R-HSA-349638;R-HSA-174660;R-HSA-8876366;R-HSA-171087;R-HSA-266315;R-HSA-349404;R-HSA-174808;R-HSA-266328;R-HSA-8855131;R-HSA-349657;R-HSA-8855130;R-HSA-171106;R-HSA-174690;R-HSA-264678;R-HSA-264679;R-HSA-266350;R-HSA-176879;R-HSA-266089;R-HSA-174706;R-HSA-171122;R-HSA-264695;R-HSA-264689;R-HSA-174587"
R-HSA-354194,"GRB2:SOS provides linkage to MAPK signaling for Integrins ",10,20,0.0013753266400770184,5.075297471142073E-4,0.03879782955717495,2,2,1.479727730097662E-4,-2.0,9606,Homo sapiens,"P02671;P05106;P08514;P62993;P02679;P61224;P04275;P02675;P02751;Q9Y490","","R-HSA-354165;R-HSA-354087"
R-HSA-354192,"Integrin signaling",10,39,0.0026818869481501856,5.075297471142073E-4,0.03879782955717495,24,24,0.0017756732761171944,-2.0,9606,Homo sapiens,"P02671;P05106;P08514;P62993;P02679;P61224;P04275;P02675;P02751;Q9Y490","","R-HSA-354149;R-HSA-443910;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-432096;R-HSA-443905;R-HSA-429441;R-HSA-432110;R-HSA-377644;R-HSA-354124;R-HSA-354060;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-939265;R-HSA-372693;R-HSA-354165;R-HSA-354097;R-HSA-354066;R-HSA-354077;R-HSA-354173;R-HSA-372697;R-HSA-354073"
R-HSA-6802952,"Signaling by BRAF and RAF1 fusions",14,73,0.0050199422362811165,0.001028182147515544,0.07264213615609025,5,5,3.699319325244155E-4,-1.0,9606,Homo sapiens,"P02671;P05106;P08514;P31946;P60709;P30086;P18206;P02679;P61224;P02545;P04275;P02675;P02751;Q9Y490","","R-HSA-6802935;R-HSA-6802934;R-HSA-6802933;R-HSA-6802932;R-HSA-6802927"
R-HSA-8963888,"Chylomicron assembly",8,14,9.627286480539128E-4,0.0010558450022687537,0.07264213615609025,5,5,3.699319325244155E-4,-1.0,9606,Homo sapiens,"P04114;P02649;P06727;P02647;P02656;P02655;P02652;P07237","","R-HSA-174786;R-HSA-174660;R-HSA-174741;R-HSA-174587;R-HSA-174731"
R-HSA-6802957,"Oncogenic MAPK signaling",15,93,0.006395268876358135,0.001498316439695307,0.0946087428648391,38,46,0.0034033737792246227,-1.0,9606,Homo sapiens,"P02671;P05106;P08514;P31946;P60709;P30086;P18206;P35232;P02679;P61224;P02545;P04275;P02675;P02751;Q9Y490","","R-HSA-6802919;R-HSA-9656211;R-HSA-6802918;R-HSA-9656209;R-HSA-6802916;R-HSA-9656215;R-HSA-6802915;R-HSA-6802914;R-HSA-6803234;R-HSA-9656214;R-HSA-6803233;R-HSA-9656213;R-HSA-6802912;R-HSA-9656212;R-HSA-6802927;R-HSA-6802926;R-HSA-6802925;R-HSA-6802924;R-HSA-6802922;R-HSA-6802921;R-HSA-6803240;R-HSA-6802935;R-HSA-6802934;R-HSA-6802933;R-HSA-6802932;R-HSA-8936731;R-HSA-6802943;R-HSA-6802942;R-HSA-6802941;R-HSA-6802937;R-HSA-9660538;R-HSA-9660536;R-HSA-8936676;R-HSA-6802911;R-HSA-6802910;R-HSA-6803230;R-HSA-6802908;R-HSA-6803227"
R-HSA-8963901,"Chylomicron remodeling",7,17,0.0011690276440654655,0.001554252796218088,0.0946087428648391,3,3,2.219591595146493E-4,-1.0,9606,Homo sapiens,"P04114;P02649;P06727;P02647;P02656;P02655;P02652","","R-HSA-174690;R-HSA-174739;R-HSA-174757"
R-HSA-9029569,"NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux",7,66,0.0045385779122541605,0.001650152491828589,0.0946087428648391,6,40,0.002959455460195324,-1.0,9606,Homo sapiens,"P05090;P55058;P02649;P02655;P02654;P11597","","R-HSA-9031512;R-HSA-9657767;R-HSA-9035169;R-HSA-9031527;R-HSA-9624365;R-HSA-9031510"
R-HSA-9024446,"NR1H2 and NR1H3-mediated signaling",7,85,0.005845138220327328,0.001650152491828589,0.0946087428648391,6,60,0.004439183190292986,-1.0,9606,Homo sapiens,"P05090;P55058;P02649;P02655;P02654;P11597","","R-HSA-9031512;R-HSA-9657767;R-HSA-9035169;R-HSA-9031527;R-HSA-9624365;R-HSA-9031510"
R-HSA-76002,"Platelet activation, signaling and aggregation",76,291,0.020011002613120617,0.0017349300364346767,0.0954905492053646,72,116,0.00858242083456644,-1.0,9606,Homo sapiens,"P02452;P08514;P01042;P12814;P12259;P13473;P62993;P00747;O00391;P00746;P02768;P02647;P08123;P61224;P02765;P08567;P05452;Q99969;P07996;Q96RI0;P29622;P07359;Q13201;Q96C24;Q9HAV0;P16109;P50148;P18206;P11021;P00734;P02679;Q92520;P02675;O94919;Q01518;P00451;P02751;P08697;P01023;P21333;P02671;P05106;Q9NXH8;P04217;Q08380;P62937;Q6YHK3;Q14624;P52735;P02749;P16284;P23528;P00488;Q16610;P02787;P01137;P05155;P63104;P60953;Q9Y490;P00441;P01011;Q86UX7;Q13103;P07737;P37802;Q06033;O75083;P49908;P01009;P04075;P05121;P02775;P04275;P10909;P07225","","R-HSA-443910;R-HSA-392195;R-HSA-443905;R-HSA-429441;R-HSA-114697;R-HSA-354060;R-HSA-396941;R-HSA-428941;R-HSA-443402;R-HSA-397835;R-HSA-939265;R-HSA-392202;R-HSA-481044;R-HSA-418581;R-HSA-418579;R-HSA-430096;R-HSA-418576;R-HSA-354066;R-HSA-354077;R-HSA-354073;R-HSA-443418;R-HSA-354087;R-HSA-442273;R-HSA-377644;R-HSA-114600;R-HSA-437932;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-9708859;R-HSA-443831;R-HSA-354097;R-HSA-442291;R-HSA-437936;R-HSA-453183;R-HSA-139842;R-HSA-396996;R-HSA-397891;R-HSA-428750;R-HSA-430158;R-HSA-354124;R-HSA-428749;R-HSA-434637;R-HSA-434633;R-HSA-372693;R-HSA-482775;R-HSA-482772;R-HSA-482770;R-HSA-453200;R-HSA-428752;R-HSA-372697;R-HSA-351323;R-HSA-429529;R-HSA-354149;R-HSA-429415;R-HSA-372705;R-HSA-432096;R-HSA-432110;R-HSA-481007;R-HSA-428909;R-HSA-354165;R-HSA-428918;R-HSA-428917;R-HSA-481010;R-HSA-481009;R-HSA-437118;R-HSA-354173;R-HSA-114552;R-HSA-430076;R-HSA-392187;R-HSA-114558;R-HSA-430073"
R-HSA-8948216,"Collagen chain trimerization",13,44,0.0030257186081694403,0.00278874181685272,0.14104932488205763,11,28,0.0020716188221367266,1.0,9606,Homo sapiens,"P02452;P02461;P12109;Q07092;P20908;P12107;P13942;P12111;P08123;P39060;P02458;Q99715;Q05707","","R-HSA-8944232;R-HSA-8944266;R-HSA-8944219;R-HSA-8944236;R-HSA-8944223;R-HSA-8944240;R-HSA-8944227;R-HSA-8944214;R-HSA-8944230;R-HSA-8944263;R-HSA-8944247"
R-HSA-156902,"Peptide chain elongation",12,97,0.006670334204373539,0.002870189750506987,0.14104932488205763,5,5,3.699319325244155E-4,1.0,9606,Homo sapiens,"P84098;P15880;P13639;Q02543;P68104;P46782;P63220;P62987;P36578;P61247;P62851;P46779","","R-HSA-156930;R-HSA-156915;R-HSA-156912;R-HSA-156923;R-HSA-156907"
R-HSA-156842,"Eukaryotic Translation Elongation",12,102,0.007014165864392794,0.002870189750506987,0.14104932488205763,8,9,6.658774785439479E-4,1.0,9606,Homo sapiens,"P84098;P15880;P13639;Q02543;P68104;P46782;P63220;P62987;P36578;P61247;P62851;P46779","","R-HSA-156930;R-HSA-156915;R-HSA-156912;R-HSA-156913;R-HSA-156923;R-HSA-156907;R-HSA-156908;R-HSA-156909"
R-HSA-2214320,"Anchoring fibril formation",3,15,0.0010314949800577637,0.0031386209238222157,0.1475373999867611,2,4,2.959455460195324E-4,1.0,9606,Homo sapiens,"P02452;P08123;P13497","","R-HSA-2214330;R-HSA-2396234"
R-HSA-1799339,"SRP-dependent cotranslational protein targeting to membrane",11,119,0.008183193508458258,0.0032166584299439197,0.1475373999867611,5,5,3.699319325244155E-4,1.0,9606,Homo sapiens,"P61619;P84098;P15880;Q02543;P46782;P63220;P62987;P36578;P61247;P62851;P46779","","R-HSA-1799326;R-HSA-1799330;R-HSA-1799329;R-HSA-1799335;R-HSA-1799332"
R-HSA-2022090,"Assembly of collagen fibrils and other multimeric structures",17,67,0.004607344244258012,0.0033829548702679338,0.15015954520931216,24,26,0.0019236460491269607,1.0,9606,Homo sapiens,"P02452;Q15149;P02461;Q92626;P12109;P20908;P12107;P13942;P12111;P13497;P14780;P08123;P39060;P02458;Q99715;Q15113;Q05707","","R-HSA-2395302;R-HSA-2022141;R-HSA-2299620;R-HSA-2395340;R-HSA-2213192;R-HSA-1474266;R-HSA-2396234;R-HSA-2213201;R-HSA-2559639;R-HSA-2213200;R-HSA-2395223;R-HSA-2213205;R-HSA-2243926;R-HSA-2395314;R-HSA-2213207;R-HSA-2395324;R-HSA-2243931;R-HSA-2213208;R-HSA-2214330;R-HSA-2213210;R-HSA-2002466;R-HSA-2395257;R-HSA-2395322;R-HSA-2250301"
R-HSA-109582,"Hemostasis",119,801,0.055081831935084584,0.00393226336549017,0.16665897670655003,196,334,0.024711453092630956,-1.0,9606,Homo sapiens,"P02452;P04114;P12814;P12259;Q08722;P13473;P62993;O00391;P01876;P08567;P05452;P07355;P07996;P01871;P47756;P07359;P03951;P03952;P02042;P01591;P14209;Q9HAV0;P16109;P50148;P02679;P16070;P01742;P02675;O94919;P08697;Q01518;P01780;P05546;P30626;P04217;Q08380;P62937;Q6YHK3;Q14624;P52735;Q93084;Q9H4B7;P02749;P16284;P68871;P23528;P01137;P05154;P05155;P63104;P00441;P01011;P05556;P07737;P37802;O75083;P17301;P14151;P52907;P05160;P49908;P01768;P01009;P01008;P04075;P10909;P07225;P08514;P01042;Q9Y624;Q9UNN8;P00747;P00748;P01834;P00746;P02768;P02647;P08123;P61224;P02765;P00742;P00740;Q99969;Q96RI0;P29622;Q13201;Q96C24;P60709;P23083;P18206;P11021;P00734;P01700;Q92520;P00451;P02751;P01023;P05026;P21333;P02671;P05106;Q9NXH8;P69892;P69891;P00488;Q16610;P02787;P60953;Q9Y490;Q86UX7;Q13103;P0DOY2;A0M8Q6;Q06033;Q9NZN3;P06331;P05121;P02775;P04275","","R-HSA-443910;R-HSA-158722;R-HSA-5606996;R-HSA-158721;R-HSA-140806;R-HSA-392195;R-HSA-443905;R-HSA-432129;R-HSA-114697;R-HSA-158218;R-HSA-432143;R-HSA-5607004;R-HSA-443402;R-HSA-397835;R-HSA-392202;R-HSA-5607002;R-HSA-5604929;R-HSA-140823;R-HSA-430096;R-HSA-158747;R-HSA-158744;R-HSA-140825;R-HSA-443418;R-HSA-158750;R-HSA-210974;R-HSA-210977;R-HSA-158756;R-HSA-140842;R-HSA-158251;R-HSA-140840;R-HSA-9661625;R-HSA-435244;R-HSA-158766;R-HSA-140847;R-HSA-140851;R-HSA-453183;R-HSA-5607023;R-HSA-418365;R-HSA-139842;R-HSA-158784;R-HSA-158278;R-HSA-204871;R-HSA-140870;R-HSA-397891;R-HSA-430158;R-HSA-158795;R-HSA-140872;R-HSA-158800;R-HSA-1008220;R-HSA-5591040;R-HSA-453200;R-HSA-5591052;R-HSA-158300;R-HSA-351323;R-HSA-158311;R-HSA-158313;R-HSA-9603302;R-HSA-5591086;R-HSA-158333;R-HSA-9670673;R-HSA-158340;R-HSA-396941;R-HSA-158354;R-HSA-392852;R-HSA-204434;R-HSA-158357;R-HSA-392870;R-HSA-437932;R-HSA-392874;R-HSA-158893;R-HSA-437936;R-HSA-425661;R-HSA-158399;R-HSA-396996;R-HSA-204485;R-HSA-5607058;R-HSA-428750;R-HSA-428749;R-HSA-158925;R-HSA-158419;R-HSA-983259;R-HSA-428752;R-HSA-5607043;R-HSA-5578883;R-HSA-9015379;R-HSA-158942;R-HSA-5603467;R-HSA-158941;R-HSA-141026;R-HSA-481007;R-HSA-983266;R-HSA-141040;R-HSA-141046;R-HSA-481010;R-HSA-481009;R-HSA-158982;R-HSA-8858498;R-HSA-354060;R-HSA-939265;R-HSA-481044;R-HSA-418581;R-HSA-418579;R-HSA-418576;R-HSA-354066;R-HSA-354077;R-HSA-354073;R-HSA-159005;R-HSA-354087;R-HSA-377644;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-354097;R-HSA-140599;R-HSA-354124;R-HSA-375133;R-HSA-354149;R-HSA-429415;R-HSA-210277;R-HSA-210283;R-HSA-994148;R-HSA-428909;R-HSA-879459;R-HSA-210285;R-HSA-354165;R-HSA-428918;R-HSA-210291;R-HSA-210290;R-HSA-428917;R-HSA-210294;R-HSA-5602080;R-HSA-994169;R-HSA-1011576;R-HSA-437118;R-HSA-354173;R-HSA-114552;R-HSA-203130;R-HSA-140664;R-HSA-114558;R-HSA-1011598;R-HSA-114563;R-HSA-210304;R-HSA-429441;R-HSA-428941;R-HSA-140686;R-HSA-114577;R-HSA-140696;R-HSA-8867097;R-HSA-140700;R-HSA-158118;R-HSA-442273;R-HSA-114600;R-HSA-9708859;R-HSA-443831;R-HSA-442291;R-HSA-9650473;R-HSA-8858428;R-HSA-158137;R-HSA-140736;R-HSA-158145;R-HSA-8948034;R-HSA-434637;R-HSA-8870732;R-HSA-202703;R-HSA-202702;R-HSA-9015111;R-HSA-434633;R-HSA-372693;R-HSA-482775;R-HSA-202706;R-HSA-482772;R-HSA-482770;R-HSA-202710;R-HSA-158164;R-HSA-9015122;R-HSA-372697;R-HSA-202718;R-HSA-429529;R-HSA-202723;R-HSA-140769;R-HSA-372705;R-HSA-202726;R-HSA-432096;R-HSA-2870221;R-HSA-202724;R-HSA-432110;R-HSA-140777;R-HSA-9670014;R-HSA-114671;R-HSA-114670;R-HSA-9679740;R-HSA-140791;R-HSA-430076;R-HSA-392187;R-HSA-430073;R-HSA-432121"
R-HSA-75153,"Apoptotic execution phase",11,54,0.0037133819282079493,0.003996908598340226,0.16665897670655003,14,57,0.004217224030778337,1.0,9606,Homo sapiens,"P07305;P51572;Q15149;Q9UDY2;P20700;P08670;P12830;P02545;P35222;Q9UJU6;P16402","","R-HSA-264871;R-HSA-211239;R-HSA-264865;R-HSA-201637;R-HSA-351948;R-HSA-350319;R-HSA-350318;R-HSA-211247;R-HSA-351894;R-HSA-202966;R-HSA-202939;R-HSA-202969;R-HSA-351871;R-HSA-201628"
R-HSA-1442490,"Collagen degradation",16,69,0.004744876908265713,0.004409376598271368,0.1784500646829824,23,34,0.0025155371411660255,1.0,9606,Homo sapiens,"P02452;P02461;P07339;P12109;Q07092;P20908;P12107;P13942;P12111;P14780;P08123;P39060;P02458;P08253;Q99715;Q05707","","R-HSA-2471621;R-HSA-1564117;R-HSA-1474196;R-HSA-1474197;R-HSA-1564179;R-HSA-1564112;R-HSA-1564120;R-HSA-2168046;R-HSA-1454822;R-HSA-2485111;R-HSA-1454757;R-HSA-1564164;R-HSA-1474213;R-HSA-1474210;R-HSA-2473584;R-HSA-1458433;R-HSA-2168982;R-HSA-1564143;R-HSA-2473596;R-HSA-1564142;R-HSA-2168923;R-HSA-2537499;R-HSA-2473594"
R-HSA-6791465,"Pentose phosphate pathway disease",2,8,5.501306560308073E-4,0.006279684142231198,0.2429320045709793,4,4,2.959455460195324E-4,-1.0,9606,Homo sapiens,"P37837;P49247","","R-HSA-5659989;R-HSA-5659998;R-HSA-5660015;R-HSA-5660013"
R-HSA-425393,"Transport of inorganic cations/anions and amino acids/oligopeptides",3,164,0.01127767844863155,0.006355779189357017,0.2429320045709793,4,75,0.005548978987866233,-1.0,9606,Homo sapiens,"P30626;Q15758;P02730","","R-HSA-352385;R-HSA-425661;R-HSA-425482;R-HSA-352379"
R-HSA-8963898,"Plasma lipoprotein assembly",11,30,0.0020629899601155273,0.006841948998263385,0.2544465357192005,16,19,0.0014057413435927789,-1.0,9606,Homo sapiens,"P04114;P02649;P06727;P02647;P02656;P02655;P02654;P02652;P07237;P13497;P01023","","R-HSA-174786;R-HSA-8866308;R-HSA-174660;R-HSA-8866304;R-HSA-174731;R-HSA-8866327;R-HSA-216723;R-HSA-264758;R-HSA-216727;R-HSA-8866321;R-HSA-216757;R-HSA-174741;R-HSA-216756;R-HSA-174587;R-HSA-349657;R-HSA-8866329"
R-HSA-72764,"Eukaryotic Translation Termination",12,106,0.007289231192408197,0.007707998670818778,0.27911068871175365,5,5,3.699319325244155E-4,1.0,9606,Homo sapiens,"P84098;P15880;Q02543;P46782;P63220;P62987;P36578;P15170;P61247;P13798;P62851;P46779","","R-HSA-141671;R-HSA-141691;R-HSA-141673;R-HSA-6800138;R-HSA-5691512"
R-HSA-9709957,"Sensory Perception",19,681,0.04682987209462247,0.00928709036137176,0.29927953777584854,16,107,0.007916543356022493,-1.0,9606,Homo sapiens,"P04114;O95445;P01130;P60709;P06727;Q6IBS0;P35579;P52907;Q07954;P02649;P02647;P02656;P02766;P02655;P02753;P26038;P98160;P02652;P47756","","R-HSA-2453863;R-HSA-2404134;R-HSA-2404135;R-HSA-2187332;R-HSA-9659380;R-HSA-2404131;R-HSA-2404140;R-HSA-2395784;R-HSA-2423785;R-HSA-2429643;R-HSA-9663363;R-HSA-2395764;R-HSA-2453876;R-HSA-2424254;R-HSA-2395768;R-HSA-5246478"
